ID_Compra,ID_Usuario,Fecha,Plan,Correo,Contraseña,Precio
D9FEA7DA,7006777962,2025-10-14 17:13:33,completa,alejandor@gmail.com,123,45.00
4FCB83C8,7006777962,2025-10-14 17:14:21,perfil (6),primeprueba@gmail.com,1234,15.00
AF5542E9,7006777962,2025-10-14 17:26:19,completa,alejan@gmail.com,123,110.00
6D3BA69E,7006777962,2025-10-14 22:07:21,perfil (4),hr3k7xlkk3@juanpa.me,LS236323,10.00
ffd1acb7-9a83-4bf3-a64a-087e432c9a43,7006777962,2025-10-15 16:32:42,Netflix (perfil (2)),alevnts12@f5.si,Alejomejor02,50.00
FE04CFEF,7006777962,2025-10-16 10:11:00,perfil (1),spoprueba@gmail.com,1234,45.00
DF701CA9,7006777962,2025-10-16 10:15:35,perfil (6),prueba@gmail.com,123,15.00
1802B5FA,5418929149,2025-10-16 10:22:19,perfil (3) - Perfil 1,hr3k7xlkk3@juanpa.me,LS236323,10.00
40302768,5418929149,2025-10-16 10:22:27,perfil (3) - Perfil 2,hr3k7xlkk3@juanpa.me,LS236323,10.00
81BA3142,5418929149,2025-10-16 10:22:39,perfil (3) - Perfil 3,hr3k7xlkk3@juanpa.me,LS236323,10.00
B8132A1D,5418929149,2025-10-16 10:22:49,perfil (6),pruebaparaver@gmail.com,123,50.00
CBEC21FE,5418929149,2025-10-16 10:22:58,perfil (6),pruebaparaver@gmail.com,123,50.00
2BD2EB9B,5418929149,2025-10-16 10:23:07,perfil (6),pruebaparaver@gmail.com,123,50.00
024917AD,5418929149,2025-10-16 10:23:14,perfil (6),pruebaparaver@gmail.com,123,50.00
2810FF75,5418929149,2025-10-16 10:23:45,perfil (6),pruebaparaver@gmail.com,123,50.00
ECA59B1F,5418929149,2025-10-16 10:24:07,perfil (1),spoprueba@gmail.com,1234,45.00
90BCB970,7006777962,2025-10-16 10:42:03,perfil (6),pruebaparaver@gmail.com,123,50.00
77446027,7006777962,2025-10-16 11:37:47,perfil (6),prueba@gmail.com,123,15.00
